global_factor,local_factor,v_max,mutation_rate,crossover_rate,best_ind,avg_ind,fitness_calls,total_time
1.0,3.5,10.0,0.2,0.5,0.644,0.536,203,126.348
1.0,3.5,10.0,0.2,0.7,0.644,0.53,203,127.557
1.0,3.5,10.0,0.2,0.9,0.644,0.541,203,127.667
1.0,3.5,10.0,0.2,1.0,0.644,0.539,201,127.602
1.0,3.5,10.0,0.4,0.5,0.644,0.53,203,127.798
1.0,3.5,10.0,0.4,0.7,0.644,0.538,195,127.779
1.0,3.5,10.0,0.4,0.9,0.644,0.526,203,127.663
1.0,3.5,10.0,0.4,1.0,0.644,0.533,203,127.942
1.0,3.5,10.0,0.6,0.5,0.644,0.536,201,128.611
1.0,3.5,10.0,0.6,0.7,0.644,0.518,203,128.783
1.0,3.5,10.0,0.6,0.9,0.644,0.524,199,129.07
1.0,3.5,10.0,0.6,1.0,0.644,0.525,203,128.416
1.0,3.5,10.0,0.8,0.5,0.644,0.521,203,129.776
1.0,3.5,10.0,0.8,0.7,0.643,0.515,203,129.184
1.0,3.5,10.0,0.8,0.9,0.644,0.527,203,128.783
1.0,3.5,10.0,0.8,1.0,0.644,0.522,201,128.475
2.25,3.5,5.5,0.2,0.5,0.643,0.541,203,122.918
2.25,3.5,5.5,0.2,0.7,0.644,0.553,203,122.571
2.25,3.5,5.5,0.2,0.9,0.644,0.555,203,122.87
2.25,3.5,5.5,0.2,1.0,0.644,0.562,187,122.773
2.25,3.5,5.5,0.4,0.5,0.644,0.541,201,123.937
2.25,3.5,5.5,0.4,0.7,0.644,0.558,203,122.459
2.25,3.5,5.5,0.4,0.9,0.644,0.556,203,122.761
2.25,3.5,5.5,0.4,1.0,0.644,0.569,203,122.042
2.25,3.5,5.5,0.6,0.5,0.644,0.539,181,123.874
2.25,3.5,5.5,0.6,0.7,0.644,0.54,199,123.464
2.25,3.5,5.5,0.6,0.9,0.644,0.56,195,123.984
2.25,3.5,5.5,0.6,1.0,0.644,0.551,203,123.796
2.25,3.5,5.5,0.8,0.5,0.643,0.53,203,124.281
2.25,3.5,5.5,0.8,0.7,0.644,0.552,203,123.729
2.25,3.5,5.5,0.8,0.9,0.644,0.544,203,124.386
2.25,3.5,5.5,0.8,1.0,0.644,0.536,203,138.608
2.25,3.5,7.75,0.2,0.5,0.644,0.55,203,123.849
